feature,importance
total_engagement,0.3712033150926743
avg_likes,0.21241552943021694
avg_retweets,0.05334916752287067
degree_ratio,0.04094921752711626
hits_authority,0.03811370625916841
in_degree,0.03210942905278513
clustering_coef,0.02839993141375649
pagerank,0.027546068811793004
betweenness,0.024952964802410015
followers_count,0.020492720133605896
follower_following_ratio,0.01877825383677011
avg_replies,0.015162782582712985
account_age_days,0.01300488567768223
hits_hub,0.012311736770704873
avg_mentions,0.01193540271459067
listed_per_follower,0.011934979659260356
following_count,0.010981476042220693
tweets_per_day,0.01052451572557309
tweet_count,0.010486710630383788
avg_hashtags,0.009618434041038878
out_degree,0.009522551082425229
tweet_count_actual,0.009045395291233979
listed_count,0.005559792897988581
verified,0.0016010330010174615
